Name,Lat,Long,Type
Smashanbhumi,16.787755000000001,73.664760000000001,SMASHANBHUMI
Smashanbhumi KURNE,16.770619000000000,73.657006999999993,SMASHANBHUMI
SMASHANBHUMI BOUDDHWADE,16.780767999999998,73.657713000000001,SMASHANBHUMI
Ganpati Visarjan,16.784300999999999,73.662315000000007,GANPATI VISARJAN
GANESH VISARJAN GHAT,16.770544999999998,73.653053999999997,GANPATI VISARJAN
CAUSWAY 1 VR202,16.781832999999999,73.654999000000004,CAUSWAY
CAUSWAY 4 MDR64,16.775247000000000,73.649760000000001,CAUSWAY
CAUSWAY 10 MDR64,16.769428000000001,73.659961999999993,CAUSWAY
CAUSWAY 3 MDR64,16.779145000000000,73.646159999999995,CAUSWAY
CAUSWAY 11 MDR,16.766313000000000,73.664732000000001,CAUSWAY
CAUSWAY 1 VR72,16.764251000000002,73.655848000000006,CAUSWAY
CAUSWAY 2 MDR64,16.779844000000001,73.642371999999995,CAUSWAY
CAUSWAY 12 MDR64,16.766265000000001,73.664792000000006,CAUSWAY
CAUSWAY 1 VR249,16.766349999999999,73.652597000000000,CAUSWAY
MDR64-YADREWADE,16.769594000000001,73.659565999999998,CAUSWAY
CAUSWAY1 VR248,16.777882000000002,73.651812000000007,CAUSWAY
CAUSWAY 5 MDR64,16.771985000000001,73.654010999999997,CAUSWAY
CAUSWAY 13 MDR64,16.765705000000001,73.665688000000003,CAUSWAY
CAUSWAY 3 VR202,16.780204000000001,73.652021000000005,CAUSWAY
MDR64-YADREWADE,16.767923000000000,73.659397999999996,CAUSWAY
CAUSWAY2 VR202,16.781278000000000,73.653836999999996,CAUSWAY
CAUSWAY1 MDR64,16.780473000000001,73.641396999999998,CAUSWAY
CAUSWAY7 MDR64,16.770450000000000,73.655225999999999,CAUSWAY
CAUSWAY ON UP,16.767116999999999,73.656470999999996,CAUSWAY
CAUSWAY MADHLEWADE,16.782057999999999,73.655590000000004,CAUSWAY
CAUSWAY 9 MDR64,16.770126000000001,73.659103000000002,CAUSWAY
CAUSWAY6 MDR64,16.770807999999999,73.655006999999998,CAUSWAY
CAUSWAY2 VR248,16.775157000000000,73.653970000000001,CAUSWAY
CAUSWAY2 VR249,16.766279000000001,73.652608000000001,CAUSWAY
CAUSWAY 8 MDR64,16.770220999999999,73.658798000000004,CAUSWAY
BRIDGE MAV,16.767674000000000,73.652961000000005,BRIDGE
BRIDGR VR72,16.770372999999999,73.655508999999995,BRIDGE
SHIRAVALI NEW BRIDGE,16.776736000000000,73.646417999999997,BRIDGE
BRIDGE1 BOUDHWADE,16.780394999999999,73.656542000000002,BRIDGE
BRIDGE1 MDR64,16.777415999999999,73.648957999999993,BRIDGE
CONCRETE SAKAV,16.769000999999999,73.653148000000002,SAKAV
BUS STOP KURNE,16.770424999999999,73.655607000000003,BUS STOP
BUS STOP ARGAO,16.777965999999999,73.648347999999999,BUS STOP
HOLICHA MAND,16.783570999999998,73.657983000000002,TEMPLE
RAM MANDIR,16.768332999999998,73.655261999999993,TEMPLE
DATTA MANDIR,16.785039999999999,73.654335000000003,TEMPLE
SIDDESHWAR MANDIR,16.784224999999999,73.650677999999999,TEMPLE
HANUMAN MANDIR VR202,16.784208000000000,73.658931999999993,TEMPLE
VITTHAL MANDIR,16.782533000000001,73.655038000000005,TEMPLE
GANESH MANDIR,16.781320999999998,73.653259000000006,TEMPLE
GANESH MANDIR M,16.767092999999999,73.654103000000006,TEMPLE
SIDDHIVINAYAK MANDIR,16.767099000000002,73.652415000000005,TEMPLE
VETAL MANDIR,16.786014000000002,73.655745999999994,TEMPLE
JANGALDEV MANDIR,16.764254999999999,73.657835000000006,TEMPLE
KEDARLING MANDIR,16.782757000000000,73.657006999999993,TEMPLE
PRIMARY SCHOOL,16.783591999999999,73.655814000000007,SCHOOL
ANGANWADE KURNE,16.767423000000001,73.654281999999995,SCHOOL
ANGAWADE FOUJDARWADE,16.783909999999999,73.656111999999993,SCHOOL
PRIMARY SCHOOL ARAGAO,16.767402000000001,73.654274999999998,SCHOOL
PRIMARY SCHOOL ARAGOAN,16.776972000000001,73.649441999999993,SCHOOL
POST OFFICE,16.777144000000000,73.649530999999996,HEAD
GP,16.777650999999999,73.650783000000004,HEAD
BOUDDHVIHAR,16.779443000000001,73.655767999999995,VIHAR
RASHAN DUKAN,16.778108000000000,73.648421999999997,SHOP
KIRANA DUKAN,16.770368000000001,73.655512000000002,SHOP
RASHAN DUKAN,16.770327000000002,73.655505000000005,SHOP
KAJU UDYOG,16.771173999999998,73.660612999999998,SB
HOSPITAL,16.776757000000000,73.649538000000007,HOSPITAL
