Name,Lat,Long,Type
"Datta Mandir, Tendulakarwadi",16.783448000000000,73.422826999999998,Mandir
Jakadevi Mandir,16.800218000000001,73.384890999999996,Mandir
Someshvar Mandir,16.800657000000001,73.385047000000000,Mandir
Samaj Mandir,16.801323000000000,73.381983000000005,Mandir
"Bouddhavihar, Bouddhawadi",16.805678000000000,73.377781999999996,Bouddhvihar
"Ganpati Mandir,Varpatwadi",16.815072000000001,73.378657000000004,Mandir
"Saticha Mand, Madhilwadi",16.806342000000001,73.378784999999993,Holicha Mand
"Holicha Mand,Madhilwadi",16.807072000000002,73.378450000000001,Saticha Mand
"Bus Stop, Pevakhalwadi",16.787884999999999,73.421165000000002,Bus Stop
"Bus Stop, Pevakhalwadi",16.780663000000001,73.422754999999995,Bus Stop
"Bus Stop, Madhilwadi",16.807117000000002,73.378596999999999,Bus Stop
"Bus Stop, Madhiliwadi",16.807079999999999,73.378602000000001,Bus Stop
"Bus Stop,Varpatwadi",16.809042999999999,73.384493000000006,Bus Stop
"Cementery, Madhilwadi",16.805572000000002,73.380155999999999,Cementry
"Cementery,Toskarwadi",16.796695000000000,73.385149999999996,Cementry
"Cementery,Varpatwadi",16.812417000000000,73.376372000000003,Cementry
"ZP School, Madhilwadi",16.806315999999999,73.379294000000002,School
"Anganwadi, Madhilwadi",16.806951000000002,73.378833000000000,School
"Anganwadi,Varpatwadi",16.815522999999999,73.373727000000002,School
"ZP School 3,Varpatwadi",16.815839000000000,73.373917000000006,School
"Ganpati Visarjan,Varpatwadi",16.815787000000000,73.373829999999998,Visarjan
"Reshan Dukan, Madhilwadi",16.807192000000001,73.377206999999999,Reshan Dukan
ODR96 Causeway 1,16.780069999999998,73.407207999999997,Causeway
ODR96 Causeway 2,16.781226000000000,73.408029999999997,Causeway
ODR96 Causeway 3,16.783829999999998,73.408811999999998,Causeway
ODR96 Causeway 4,16.787189000000001,73.409098999999998,Causeway
ODR96 Causeway 5,16.788815000000000,73.408741000000006,Causeway
VR95 Causeway 1,16.812712000000001,73.386349999999993,Causeway
VR95 Causeway 2,16.809040000000000,73.844629999999995,Causeway
VR95 Causeway 3,16.806853000000000,73.383005999999995,Causeway
VR95 Causeway 4,16.806445000000000,73.382082999999994,Causeway
VR01 Causeway 1,16.788179000000000,73.420940000000002,Causeway
VR01 Causeway 2,16.786774000000001,73.421366000000006,Causeway
VR95 Causeway 3,16.785712000000000,73.421940000000006,Causeway
SH150 Causeway 1,16.802727000000001,73.377972000000000,Causeway
Beni Road Causeway 1,16.802693000000001,73.381979000000001,Causeway
Beni Road Causeway 2,16.800267000000002,73.384304999999998,Causeway
Foujdarwadi Causeway 1,16.804456999999999,73.382990000000007,Causeway
"VR125 Karavsndichi Gothan, Causeway 1",16.797820000000002,73.387889999999999,Causeway
VR95 Bridge 1,16.804587999999999,73.381420000000006,Bridge
Pimpalwadi Bridge 1,16.805755999999999,73.374532000000002,Bridge
Tendulkarwadi,16.783448000000000,73.422826999999998,wadi
Bouddhawadi,16.805678000000000,73.377781999999996,wadi
Varpatwadi,16.815522999999999,73.373727000000002,wadi
Madhilwadi,16.807072000000002,73.378450000000001,wadi
Pimpalwadi,16.805755999999999,73.374532000000002,wadi
Pevakhalwadi,16.787884999999999,73.421165000000002,wadi
Toskarwadi,16.802225000000000,73.382553000000001,wadi
Bhandarwadi,16.802105000000001,73.382610000000000,wadi
