Type,Road,Material U,Length,Width,No. of Mor,Remark,Latitude,Longitude,field_10,field_11,field_12,field_13,field_14,field_15,field_16
Cross Drainage 1,UP(From SH150),concrete pipe,4.800000000000000,7.500000000000000,"1","-",16.760684000000001,73.402310999999997,,,,,,,
Cross Drainage 2,VR155,concrete pipe,5.000000000000000,7.500000000000000,"2","-",16.755246000000000,73.373514999999998,,,,,,,
Cross Drainage 3,ODR97,concrete pipe,12.500000000000000,7.600000000000000,"5","-",16.759788000000000,73.371661000000003,,,,,,,
Cross Drainage 4,ODR97,concrete pipe,8.000000000000000,7.900000000000000,"2",One Mori Blocked,16.756800999999999,73.373249999999999,,,,,,,
Cross Drainage 5,ODR97,concrete pipe,8.000000000000000,7.600000000000000,"2","-",16.755680000000002,73.374294000000006,,,,,,,
Cross Drainage 6,ODR97,concrete pipe,5.000000000000000,7.700000000000000,"1","-",16.753523999999999,73.377705000000006,,,,,,,
Cross Drainage 7,ODR97,concrete pipe,5.000000000000000,7.600000000000000,"1","-",16.751618000000001,73.377189999999999,,,,,,,
Cross Drainage 8,ODR97,concrete pipe,6.000000000000000,8.300000000000002,"1",Blocked,16.750876999999999,73.377369000000002,,,,,,,
Cross Drainage 9,ODR97,concrete pipe,5.000000000000000,9.000000000000000,"1","-",16.750674000000000,73.378424999999993,,,,,,,
Cross Drainage 10,ODR97,concrete pipe,5.000000000000000,10.000000000000000,"1",Blocked,16.747439000000000,73.379256999999996,,,,,,,
Cross Drainage 11,ODR97,concrete pipe,18.000000000000000,5.000000000000000,"8",2 Mori's Blocked & Submersible,16.746217999999999,73.380365999999995,,,,,,,
Bridge,ODR97,concrete,45.000000000000000,7.500000000000000,"-","-",16.751906999999999,73.391069000000002,,,,,,,
Cross Drainage 13,ODR97,concrete pipe,4.400000000000001,7.600000000000000,"1","-",16.748384000000001,73.385509999999996,,,,,,,
Cross Drainage 14,ODR97,concrete pipe,5.000000000000000,7.000000000000000,"1","-",16.749462999999999,73.387055000000004,,,,,,,
Cross Drainage 15,ODR97,concrete pipe,5.000000000000000,7.600000000000000,"1","-",16.749722999999999,73.387341000000006,,,,,,,
Cross Drainage 16,ODR97,concrete pipe,5.000000000000000,7.900000000000000,"1","-",16.750972999999998,73.388662999999994,,,,,,,
Cross Drainage 17,ODR97,concrete pipe,6.000000000000000,7.600000000000000,"1","-",16.751127000000000,73.389947000000006,,,,,,,
Cross Drainage 18,ODR97,concrete pipe,5.000000000000000,7.500000000000000,"1","-",16.751529999999999,73.391013999999998,,,,,,,
Cross Drainage 19,ODR97,concrete pipe,5.200000000000000,7.700000000000000,"1","-",16.752186999999999,73.391862000000003,,,,,,,
Cross Drainage 20,ODR97 to Tambewadi,concrete pipe,35.500000000000000,7.500000000000000,"14",Submersible,16.745432000000001,73.382540000000006,,,,,,,
Bridge,ODR97 to Tambewadi,Steel,43.000000000000000,5.600000000000000,"-",Rusted,16.745432000000001,73.382540000000006,,,,,,,
Cross Drainage 21,VR97,concrete pipe,5.000000000000000,7.300000000000000,"-","-",16.744354999999999,73.386352000000002,,,,,,,
Cross Drainage 22,VR97,concrete pipe,8.000000000000000,7.500000000000000,"-","-",16.748031000000001,73.394273999999996,,,,,,,
Cross Drainage 23,VR22,concrete pipe,4.900000000000000,7.600000000000000,"-","-",16.754614000000000,73.407709999999994,,,,,,,
Cross Drainage 24,VR22,concrete pipe,5.000000000000000,7.600000000000000,"-","-",16.754612999999999,73.407711000000006,,,,,,,
Cross Drainage 25,ODR98,concrete pipe,4.900000000000000,7.600000000000000,"-",Blocked,16.755403000000001,73.406409999999994,,,,,,,
Cross Drainage 26,ODR98,concrete pipe,4.900000000000000,7.600000000000000,"-","-",16.756708000000000,73.400535000000005,,,,,,,
Cross Drainage 27,ODR98,concrete pipe,5.000000000000000,7.500000000000000,"-","-",16.753136999999999,73.398521000000002,,,,,,,
Cross Drainage 28,ODR98,concrete pipe,5.000000000000000,7.600000000000000,"-","-",16.752216000000001,73.396806999999995,,,,,,,
Bridge,Devulwadi,Concrete,20.000000000000000,2.500000000000000,"-","-",16.755324999999999,73.393517000000003,,,,,,,
