NAME,LATTITUDE,LONGITUDE,TYPE
CAUSE WAY1,16.836186999999999,73.459283999999997,CAUSE WAY
CAUSE WAY2,16.834640000000000,73.461225999999996,CAUSE WAY
CAUSE WAY3,16.829395000000002,73.470380000000006,CAUSE WAY
CAUSE WAY4,16.829288999999999,73.491164999999995,CAUSE WAY
CAUSE WAY5,16.828997000000001,73.496606999999997,CAUSE WAY
CAUSE WAY6,16.830126000000000,73.502447000000004,CAUSE WAY
CAUSE WAY7,16.823401000000000,73.475544999999997,CAUSE WAY
BRIDGE 1,16.829226999999999,73.483056000000005,BRIDGE
BRIDGE 2,16.822897999999999,73.474159999999998,BRIDGE
BRIDGE 3,16.824601000000001,73.468134000000006,BRIDGE
BRIDGE 4,16.825939999999999,73.455033999999998,BRIDGE
BUS STOP 1,16.834654000000000,73.457620000000006,BUSSTOP
BUS STOP 2,16.828040000000001,73.461868999999993,BUSSTOP
BUS STOP 3,16.829640000000001,73.469621000000004,BUSSTOP
BUS STOP 4,16.829141000000000,73.471462000000002,BUSSTOP
BUS STOP 5,16.824228999999999,73.469949000000000,BUSSTOP
BUS STOP 6,16.823741999999999,73.463389000000006,BUSSTOP
BUS STOP 7,16.823884000000000,73.460964000000004,BUSSTOP
BUS STOP 8,16.824735000000000,73.459226000000001,BUSSTOP
BUS STOP 9,16.825225000000000,73.457464000000002,BUSSTOP
BUS STOP 10,16.825409000000001,73.455760999999995,BUSSTOP
KATALWADI SAMAJ MANDIR,16.832856000000000,73.457243000000005,TEMPLE
WADI MALAK MANDIR NAMYEWADI,16.829993999999999,73.471609999999998,TEMPLE
JAKADEVI MANDIR TATKEWADI,16.823214000000000,73.475776999999994,TEMPLE
BOUDHVIHAR BOUDHWADI,16.827193000000001,73.460769999999997,BOUDHA TEMPLE
LAXMIKESHAV MANDIR BRAMHANWADI,16.822527000000001,73.459695999999994,TEMPLE
SAMAJ MANDIR NAMYEWADI,16.830031000000002,73.471596000000005,TEMPLE
RAVALNATH MANDIR TATKEWADI,16.824320000000000,73.471400000000003,TEMPLE
EK KHAMBI SIDDHIVINAYAK MANDIR TATKEWADI,16.824234000000001,73.469954000000001,TEMPLE
MAHAKALI MANDIR BRAMHANWADI,16.824877999999998,73.459303000000006,TEMPLE
NAVALADEVI MANDIR BOUDHWADI,16.824954999999999,73.461701000000005,TEMPLE
PRIMARY SCHOOL 3 JAVADE,16.831879000000001,73.456986000000001,SCHOOL
ANGANWADI KATALWADI,16.832421000000000,73.456768999999994,SCHOOL
NEW ENGLISH SCHOOL JAVADE,16.827468000000000,73.465535000000003,SCHOOL
ANGANWADI NAMYEWADI,16.829967000000000,73.471553000000000,SCHOOL
PRIMARY SCHOOL 2 JAVADE,16.824207999999999,73.471388000000005,SCHOOL
ANGANWADI BRAMHANWADI,16.824938000000000,73.459338000000002,SCHOOL
PRIMARY SCHOOL 1 JAVADE,16.824935000000000,73.459208000000004,SCHOOL
KATALSHILP KATALGOAN,16.838320000000000,73.460177000000002,TOURISM
BANDHU SAMAJ MANDAL KATALWADI,16.832322000000001,73.457532999999998,OTHER
CASHEW FACTORY NAMYEWADI,16.829526999999999,73.469211999999999,SMALL BUSINESS
GAJANAN FOOD PRODUCTS,16.823210000000000,73.460712999999998,SMALL BUSINESS
GRAMPANCHAYAT JAVADE,16.828040000000001,73.461868999999993,HEADQUARTER
RICE MILL NAMYEWADI,16.829433999999999,73.468873000000002,SMALL BUSINESS
GENERAL STORE NAMYEWADI,16.829163000000001,73.471363999999994,SHOP
RASHAN SHOP TATKEWADI,16.824225999999999,73.469949999999997,SHOP
GANESH FOOD PRODUCTS SHINDEWADI,16.823740999999998,73.462995000000006,SMALL BUSINESS
SHRUNGAR SAREE CENTER SHINDEWADI,16.823692000000001,73.462889000000004,SHOP
POST OFFICE JAVADE,16.823812000000000,73.458798000000002,post
PHC SUB CENTER,16.824545000000001,73.469198000000006,PHC
PHC CENTER,16.823497000000000,73.463251000000000,PHC
CEMETERY 1 BOUDHWADI,16.831914999999999,73.463706999999999,CEMETERY
CEMETERY 2 NAMYEWADI,16.831212000000001,73.481767000000005,CEMETERY
CEMETERY 3 KATALWADI,16.831669000000002,73.463669999999993,CEMETERY
CEMETERY 4 TATKEWADI,16.823150999999999,73.471187000000000,CEMETERY
