Type,Road,Material U,Length,Width,No. of Mor,Remark,Latitude,Longitude
Cross Drainage 1,SH168,concrete pipe,4.000000000000000,11.300000000000001,"1",,16.839289000000001,73.528193999999999
Cross Drainage 2,SH168,concrete pipe,4.900000000000000,10.100000000000000,"1",,16.835276000000000,73.527237999999997
Cross Drainage 3,SH168,concrete pipe,3.200000000000000,10.800000000000001,"1",,16.827441000000000,73.521979000000002
Cross Drainage 4,SH168,concrete pipe,5.500000000000000,12.600000000000000,"2",,16.826021999999998,73.521281999999999
Cross Drainage 5,SH168,concrete pipe,3.000000000000000,11.000000000000000,"1",,16.824625000000001,73.519138999999996
Cross Drainage 6,SH168,concrete pipe,5.600000000000000,10.000000000000000,"3",,16.820336000000001,73.513869000000000
Cross Drainage 7,SH168,concrete pipe,2.500000000000000,10.000000000000000,"1",,16.820314000000000,73.513757999999996
Khavadi Kondye Bridge,SH168,concrete,25.000000000000000,11.500000000000000,"-",,16.818953000000000,73.512613000000002
Cross Drainage 8,VR28,concrete pipe,4.900000000000000,7.600000000000000,"1",,16.823402999999999,73.520934999999994
Cross Drainage 9,VR28,concrete pipe,4.900000000000000,7.700000000000000,"1",,16.821311999999999,73.520888999999997
Nivoshi Road Bridge,VR28,concrete,20.000000000000000,5.500000000000000,"-",,16.814706000000001,73.520329000000004
Cross Drainage 10,VR121,concrete pipe,4.550000000000000,10.000000000000000,"1",,16.829263000000001,73.521234000000007
Cross Drainage 11,VR121,concrete pipe,4.200000000000000,4.800000000000000,"1",,16.830164000000000,73.518997999999996
Cross Drainage 12,VR121,concrete pipe,4.500000000000000,7.000000000000000,"1",,16.831634999999999,73.518658000000002
Cross Drainage 13,VR7,concrete pipe,5.000000000000000,3.700000000000000,"1",,16.842870999999999,73.518600000000006
