Type,Road,Material U,Length,Width,No. of Mor,Remark,Latitude,Longitude,field_10,field_11,field_12,field_13,field_14,field_15,field_16
Cross Drainage 1,UP(Chinchwadi),concrete pipe,6.000000000000000,5.500000000000000,"1",Blocked,16.756958999999998,73.680969000000005,,,,,,,
Cross Drainage 2,UP(Chinchwadi),concrete pipe,6.000000000000000,7.600000000000000,"1",Half Blocked,16.757290999999999,73.681743999999995,,,,,,,
Cross Drainage 3,UP(Chinchwadi),concrete pipe,6.000000000000000,7.800000000000000,"1",Blocked,16.757155000000001,73.682749000000001,,,,,,,
Cross Drainage 4,ODR105,concrete pipe,1.000000000000000,6.600000000000000,"1",Half Blocked,16.756910999999999,73.677802000000000,,,,,,,
Cross Drainage 5,ODR105,concrete pipe,4.000000000000000,6.600000000000000,"1","-",16.760162000000001,73.680718999999996,,,,,,,
Cross Drainage 6,ODR105,concrete pipe,16.000000000000000,10.500000000000000,"4","-",16.761806000000000,73.681582000000006,,,,,,,
Cross Drainage 7,ODR105,concrete pipe,8.000000000000000,6.500000000000000,"1",Blocked,16.763870000000001,73.682660999999996,,,,,,,
Cross Drainage 8,ODR105,concrete pipe,5.000000000000000,8.000000000000000,"1",Blocked,16.764918000000002,73.683479000000005,,,,,,,
Cross Drainage 9,ODR105,concrete pipe,14.000000000000000,7.000000000000000,"6","-",16.769037000000001,73.684303000000000,,,,,,,
Cross Drainage 10,ODR105,concrete pipe,5.000000000000000,8.000000000000000,"1",Blocked,16.771979999999999,73.684736999999998,,,,,,,
Cross Drainage 11,ODR105,concrete pipe,5.000000000000000,8.000000000000000,"1","-",16.772487999999999,73.685264000000004,,,,,,,
Cross Drainage 12,ODR105,concrete pipe,5.000000000000000,8.000000000000000,"1",Blocked,16.775276999999999,73.688412000000000,,,,,,,
Cross Drainage 13,ODR105,concrete pipe,6.000000000000000,8.000000000000000,"1",Blocked,16.776059000000000,73.689125000000004,,,,,,,
Cross Drainage 14,ODR105,concrete pipe,20.000000000000000,7.300000000000000,"4",Submersible,16.776385999999999,73.689745000000002,,,,,,,
Cross Drainage 15,ODR105,concrete pipe,5.000000000000000,7.300000000000000,"1",Blocked,16.776720000000001,73.691655999999995,,,,,,,
Cross Drainage 16,ODR105,concrete pipe,8.000000000000000,7.100000000000000,"1","-",16.776992000000000,73.693691999999999,,,,,,,
Cross Drainage 17,ODR105,concrete pipe,5.000000000000000,7.000000000000000,"1",Blocked,16.777301999999999,73.695049999999995,,,,,,,
Cross Drainage 18,ODR106,concrete pipe,8.000000000000000,7.200000000000000,"1","-",16.776806000000001,73.698237000000006,,,,,,,
Cross Drainage 19,ODR107,concrete pipe,5.500000000000000,7.800000000000000,"1","-",16.776392999999999,73.699340000000007,,,,,,,
Cross Drainage 20,MDR64,concrete pipe,6.000000000000000,7.800000000000000,"1",Half Blocked,16.761697000000002,73.669379000000006,,,,,,,
Cross Drainage 21,MDR64,concrete pipe,6.000000000000000,7.800000000000000,"1",Blocked,16.756843000000000,73.677239999999998,,,,,,,
Patilwadi Sakav,UP(Patilwadi),Steel,42.000000000000000,1.400000000000000,"-",Rusted,16.775466000000002,73.691562000000005,,,,,,,
Sutarwadi Sakav,UP(Sutarwadi),Steel,40.000000000000000,1.500000000000000,"-",Rusted,16.776105999999999,73.698706000000001,,,,,,,
Antojiwadi Bridge,VR284,RCC,60.000000000000000,7.600000000000000,"-",Newly Constructed,16.770900999999999,73.684687999999994,,,,,,,
Bridge,MDR64,RCC,60.000000000000000,4.400000000000001,"-","-",16.755890999999998,73.678822999999994,,,,,,,
Bridge 1,ODR105,RCC,15.000000000000000,4.200000000000000,"-","-",16.773783000000002,73.686430000000001,,,,,,,
Bridge 2,ODR105,RCC,23.000000000000000,7.000000000000000,"-","-",16.777408000000001,73.697676000000001,,,,,,,
Bridge 3,VR251,RCC,8.900000000000000,1.400000000000000,"-","-",16.756453000000000,73.675332999999995,,,,,,,
