NAME,LATTITUDE,LONGITUDE,TYPE
CAUSE WAY1,16.779945000000001,73.465872000000005,CAUSE WAY
CAUSE WAY2,16.778001000000000,73.463290999999998,CAUSE WAY
CAUSE WAY3,16.778044000000001,73.458073999999996,CAUSE WAY
CAUSE WAY4,16.778041000000002,73.458081000000007,CAUSE WAY
CAUSE WAY5,16.778041999999999,73.458061999999998,CAUSE WAY
CAUSE WAY6,16.769520000000000,73.463572999999997,CAUSE WAY
CAUSE WAY7,16.768312000000002,73.463809999999995,CAUSE WAY
CAUSE WAY8,16.767688000000000,73.464087000000006,MORI
CAUSE WAY9,16.765647000000001,73.465839000000003,CAUSE WAY
CAUSE WAY10,16.764741000000001,73.465457999999998,CAUSE WAY
CAUSE WAY11,16.765554000000002,73.473251000000005,MORI
CAUSE WAY12,16.764295000000001,73.472975000000005,MORI
CAUSE WAY13,16.763372000000000,73.473354000000000,MORI
CAUSE WAY14,16.763186000000001,73.473641000000001,MORI
CAUSE WAY15,16.762270999999998,73.475075000000004,MORI
CAUSE WAY16,16.760926000000001,73.476066000000003,MORI
CAUSE WAY17,16.762024000000000,73.477827000000005,MORI
CAUSE WAY18,16.763172000000001,73.477929000000003,MORI
CAUSE WAY19,16.763321000000001,73.476938000000004,MORI
CAUSE WAY20,16.771218999999999,73.463459000000000,CAUSE WAY
CAUSE WAY21,16.772283000000002,73.461996999999997,CAUSE WAY
CAUSE WAY22,16.762744000000001,73.478891000000004,CAUSE WAY
SAKAV SATHAVALI ROAD,16.760902999999999,73.474926999999994,SAKAV
BRIDGE 1,16.780601999999998,73.466148000000004,CAUSE WAY
BRIDGE 2,16.777837000000002,73.462388000000004,CAUSE WAY
BUS STOP 1,16.780118000000002,73.466111999999995,BUSSTOP
BUS STOP 2,16.777557999999999,73.462704000000002,BUSSTOP
BUS STOP 3,16.770603999999999,73.463244000000003,BUSSTOP
SAMAJ MANDIR KOSAMWADI,16.782323999999999,73.461985999999996,TEMPLE
JAKADEVI MANDIR KOSAMWADI,16.784137000000001,73.456596000000005,TEMPLE
HOLI MAND BRAMHANWADI,16.777519999999999,73.462851999999998,TEMPLE
MARUTI MANDIR ROON,16.770785000000000,73.457999999999998,TEMPLE
THANESHWAR MANDIR BRAMHANWADI,16.776986999999998,73.461811999999995,TEMPLE
HOLI MAND SADAVALI,16.775046000000000,73.466373000000004,TEMPLE
BOUDH VIHAR BOUDHWADI,16.770603999999999,73.463244000000003,TEMPLE
BHARADINDEVI MANDIR SADAVALI,16.763859000000000,73.472560999999999,TEMPLE
SAMAJ MANDIR 1 SADAVALI,16.760957000000001,73.476003000000006,TEMPLE
DATTA MANDIR 1 SADAVALI,16.761782000000000,73.477029000000002,TEMPLE
DATTA MANDIR 2 SADAVALI,16.761925999999999,73.477895000000004,TEMPLE
SAMAJ MANDR 2 SADAVALI,16.761852999999999,73.477620999999999,TEMPLE
SAMAJ MANDIR MATHWADI,16.777843000000001,73.465693000000002,TEMPLE
GIRAMADEVI MANDIR ROON,16.774084999999999,73.469902000000005,TEMPLE
ACHALESHWAR MANDIR,16.774653000000001,73.469503000000003,TEMPLE
PRIMARY SCHOOL PARADKARWADI ROON,16.781351000000001,73.467078999999998,SCHOOL
MINI ANGANWADI GONDAVALI ROON,16.777037000000000,73.456379999999996,SCHOOL
PRIMARY SCHOOL GONDAVALI ROON,16.777956000000000,73.456969000000001,SCHOOL
PRIMARY SCHOOL BRAMHANWADI,16.777118999999999,73.463559000000004,SCHOOL
PRIMARY SCHOOL SADAVALI,16.761868000000000,73.477852999999996,SCHOOL
DUGDH VYAVSAY DHANGARWADI,16.791651000000002,73.465855000000005,SMALL BUSINESS
SHIV CHATRAPATI SABHAGRUH PARADKARWADI,16.780512999999999,73.467230999999998,SABHAGRUH
SHIVSMARAK PARADKARWADI,16.780934999999999,73.467500999999999,STATUE
KAJU PRAKRIYA UDYOG PARADKARWADI,16.780934999999999,73.467500999999999,SMALL BUSINESS
MATHWADI KIRANA DUKAN,16.778511999999999,73.465866000000005,SHOP
RASHAN DUKAN ROON,16.777830000000002,73.462395000000001,SHOP
DISPENSARY BRAMHANWADI,16.777830000000002,73.462395000000001,DISPENSARY
POST OFFICE BRAMHANWADI,16.777533999999999,73.462802999999994,POST OFFICE
GRAMPANCHAYAT ROON,16.777533999999999,73.462802999999994,HEADQUARTER
GIRAN 1 BRAMHANWADI,16.777542000000000,73.462727000000001,SMALL BUSINESS
KIRANA STORE BRAMHANWADI,16.777542000000000,73.462727000000001,SHOP
GANAPATI KARKHANA MATHWADI,16.777103000000000,73.465591000000003,SMALL BUSINESS
KAJU UDYOG MATHWADI,16.777194000000001,73.465419999999995,SMALL BUSINESS
GIRAN 2 BRAMHANWADI,16.776693000000002,73.462034000000003,SMALL BUSINESS
SHAHID MUKESH JADHAV SMARAK,16.770182999999999,73.463307000000000,STATUE
KIRANA STORE SADAVALI,16.761134999999999,73.466728000000003,SHOP
RASHAN DUKAN SADAVALI,16.761706000000000,73.477492999999996,SHOP
KATALSHILP ROON,16.782118000000001,73.458806999999993,TOURISM
PRACHIN VIHIR,16.784012000000001,73.456974000000002,TOURISM
CEMETERY 1 ROON,16.778990000000000,73.463421999999994,CEMETERY
CEMETERY 2 BRAMHANWADI,16.778126000000000,73.463386999999997,CEMETERY
CEMETERY 3 LINGAYAT SAMAJ,16.774688000000001,73.469493999999997,CEMETERY
CEMETERY 4 BOUDHWADI,16.775072000000002,73.463954000000001,CEMETERY
CEMETERY 5 SADAVALI,16.764796000000000,73.477020999999993,CEMETERY
