Type,field_2,Road,Material U,Length,Width,No. of Mor,Remark,Latitude,Longitude
Cross Drainage 1,Culvert,SH168,concrete pipe,4.000000000000000,11.300000000000001,"-",,16.924351999999999,73.536682999999996
Cross Drainage 2,Laxmi Keshav Mandir Bridge 1,SH168,concrete pipe,4.900000000000000,10.100000000000000,"-",,16.922902000000001,73.536741000000006
Cross Drainage 3,Laxmi Keshav Mandir Bridge 2,SH168,concrete pipe,3.200000000000000,10.800000000000001,"-",,16.923199000000000,73.536157000000003
Cross Drainage 4,Laxmi Keshav Mandir Bridge 3,SH168,concrete pipe,5.500000000000000,12.600000000000000,"-",,16.923413000000000,73.535990999999996
Cross Drainage 5,Cross Drainage 1,SH168,concrete pipe,3.000000000000000,11.000000000000000,"2",,16.923836999999999,73.532663999999997
Cross Drainage 6,Cross Drainage 2,SH168,concrete pipe,5.600000000000000,10.000000000000000,"1",,16.923843999999999,73.532657999999998
Cross Drainage 7,Grampanchayat Road Bridge,SH168,concrete pipe,2.500000000000000,10.000000000000000,"-",,16.922478999999999,73.529786999999999
Khavadi Kondye Bridge,Cross Drainage 3,SH168,concrete,25.000000000000000,11.500000000000000,"2",,16.922196000000000,73.529400999999993
Cross Drainage 8,Cross Drainage 4,VR28,concrete pipe,4.900000000000000,7.600000000000000,"1",,16.921619000000000,73.534118000000007
Cross Drainage 9,Sakav,VR28,concrete pipe,4.900000000000000,7.700000000000000,"-",,16.922093000000000,73.532079999999993
Nivoshi Road Bridge,Cross Drainage 5,VR28,concrete,20.000000000000000,5.500000000000000,"1",,16.926722999999999,73.529528999999997
Cross Drainage 10,Cross Drainage 6,VR121,concrete pipe,4.550000000000000,10.000000000000000,"1",,16.933774000000000,73.534616000000000
Cross Drainage 11,Cross Drainage 7,VR121,concrete pipe,4.200000000000000,4.800000000000000,"1",,16.934284000000002,73.528634999999994
Cross Drainage 12,Cross Drainage 8,VR121,concrete pipe,4.500000000000000,7.000000000000000,"4",,16.919464999999999,73.524984000000003
Cross Drainage 13,Muslimgaon Bridge 1,VR7,concrete pipe,5.000000000000000,3.700000000000000,"-",,16.923784999999999,73.527122000000006
,Muslimgaon Bridge 2,,,,,"-",,16.923309000000000,73.527152000000001
,Muslimgaon Bridge 3,,,,,"11",,16.923354000000000,73.527139000000005
,Muslimgaon Bridge 4,,,,,"-",,16.924474000000000,73.524323999999993
