Name,Lat,Long,Type
Causway 1,16.793762000000001,73.483491000000001,Causway
Causeway 2,16.796173000000000,73.483602000000005,Causway
Causeway 4,16.801649999999999,73.478953000000004,Causway
Causeway 5,16.802517000000002,73.478487999999999,Causway
Causeway 6,16.804337000000000,73.476783999999995,Causway
Causeway 7,16.807656999999999,73.473309999999998,Causway
Causeway 8,16.807310999999999,73.472262999999998,Causway
Causeway 9,16.808275999999999,73.471136000000001,Causway
Causeway 10,16.808916000000000,73.470056000000000,Causway
Causeway 11,16.809753000000001,73.468523000000005,Causway
Causeway 12,16.810756000000001,73.465384999999998,Causway
Causeway 13,16.812367999999999,73.464488000000003,Causway
Causeway 14,16.814471999999999,73.463509000000002,Causway
Causeway 15,16.814653000000000,73.461590999999999,Causway
Causeway 16,16.815246999999999,73.460998000000004,Causway
Causeway 17,16.816960000000002,73.461461999999997,Causway
Causeway 18,16.818272000000000,73.461462999999995,Causway
Causeway 19,16.819440000000000,73.462121999999994,Causway
Causeway 20,16.820032999999999,73.462496999999999,Causway
Causeway 21,16.821194999999999,73.463789000000006,Causway
Causeway 22,16.821605999999999,73.464682999999994,Causway
Causeway 23,16.821964999999999,73.467088000000004,Causway
Causeway 24,16.821681999999999,73.467393000000001,Causway
Causeway 25,16.822122000000000,73.468800000000002,Causway
Causeway 26,16.822360000000000,73.471317999999997,Causway
Causeway 27,16.822697000000002,73.472416999999993,Causway
Causeway 28,16.822483999999999,73.473168999999999,Causway
Causeway 29,16.821763000000001,73.463012000000006,Causway
Causeway 30,16.821883000000000,73.462706999999995,Causway
Causeway 31,16.814888000000000,73.460617999999997,Causway
Causeway 32,16.815918000000000,73.459351999999996,Causway
Causeway 33,16.817737999999999,73.458173000000002,Causway
Causeway 34,16.818366999999999,73.457859999999997,Causway
Causeway 35,16.802067999999998,73.469584999999995,Causway
Causeway 36,16.799658000000001,73.457852000000003,Causway
Causeway 37,16.810070000000000,73.471892999999994,Causway
Bridge 1,16.806457000000002,73.474822000000003,Bridge
Bridge 2,16.811513000000001,73.463939999999994,Bridge
Bridge 3,16.822797000000001,73.474123000000006,Bridge
Bridge 4,16.821757000000002,73.460412000000005,Bridge
Bridge 5,16.821807000000000,73.459760000000003,Bridge
Lokhandi Sakav 1,16.806721000000000,73.472132999999999,Lokhandi Sakav
hospital,16.805340000000001,73.475292999999994,Hospital
Holicha mand,16.803768000000002,73.475556999999995,Temple
Ganpati Mandir,16.801886000000000,73.470061999999999,Temple
Jangaldev Mandir,16.815614000000000,73.459318999999994,Temple
hanuman Mandir,16.821151000000000,73.458814000000004,Temple
Lakshmikantmandir,16.822527999999998,73.460310000000007,Temple
NavalaiDevi,16.807608999999999,73.468845000000002,Temple
Boudh Vihaar,16.808721999999999,73.472853000000001,Temple
Navalaidevi Buddhwade,16.807352000000002,73.471731000000005,Temple
Bhavani mandir,16.807243000000000,73.472855999999993,Temple
Ganpati visarjan,16.806342000000001,73.474985000000004,Ganpati visarjan
Jangaldev Mandir,16.805762999999999,73.475624999999994,Temple
Jangaldev Mandir bagvewade,16.803125000000001,73.477069999999998,Temple
bu. Smashan,16.810070000000000,73.471892999999994,Smashanbhumi
Ravari Sma,16.815280000000001,73.461404999999999,Smashanbhumi
Bouddhwade Smashan,16.811292000000002,73.469997000000006,Smashanbhumi
Ramtirth Sma,16.806356999999998,73.474581999999998,Smashanbhumi
GP,16.804884999999999,73.476643999999993,Head
"Buddhwade Sar, Vihir",16.806721000000000,73.472132999999999,Vihir
Bagvewade vihir,16.804402000000000,73.478200000000001,Vihir
Bus Stop,16.824807000000000,73.459187000000000,Bus Stop
lotankarwade bus stop,16.811812000000000,73.464523000000000,Bus Stop
Bhoslewade,16.820042000000001,73.462444000000005,Bus Stop
Ravari,16.815190000000001,73.461039999999997,Bus Stop
Lotankarwade bus stop,16.811903000000001,73.464507999999995,Bus Stop
BouddhWadi,16.807289000000001,73.472172999999998,Bus Stop
Zorewade Bus,16.805769000000002,73.474975999999998,Bus Stop
Anganwadi,16.804628000000001,73.474532999999994,School
ZP School Bramhan.,16.821739999999998,73.460239999999999,School
Primary School,16.807458000000000,73.473051999999996,School
